Tweet,Filtered Tweet,TextBlob Polarity,TextBlob Score,Vader Polarity,Vader Score
"['bearcub101;now croatia is mocking president trumpâ€™s â€˜america firstâ€™ with a hilarious viral video;Los Angeles', ' CA;40;0;0;en;-118.2436849;34.0522342;United States;joy; ']",bearcub croatia mocking president trump america first hilarious viral video Los Angeles CA en United States joy,Positive,0.52,positive,0.77
['shillstudios;@realdonaldtrump @nytimes god bless you president trump.  keep fighting the good fight!;Atlanta;215;0;0;en;-84.3879824;33.7489954;United States;joy; '],shillstudios god bless president trump keep fighting good fight Atlanta en United States joy,Positive,0.75,positive,0.85
['Darodi;airline ceos are optimistic following talk with president trump - skift;New York;808;0;0;en;-74.0059413;40.7127837;United States; ; '],Darodi airline ceos optimistic following talk president trump skift New York en United States,Positive,0.07,positive,0.62
"['moetmac1020;@metalmoccha @geierman777 no i voted for president trump;New York', ' USA;121;0;0;en;-74.0059413;40.7127837;United States; ; ']",moetmac voted president trump New York USA en United States,Positive,0.14,positive,0.42
"[""Fuck_Trump_Bot;@impeach_d_trump you should impeach all you fucking assholes. president trump is the best.if you don't like it get the fucâ€¦; ;250;1;0;en;-100.113952;76.250578;Arctic;joy; ""]",Fuck Trump Bot trump impeach fucking assholes president trump best like get fuc en Arctic joy,Positive,0.2,positive,0.44
['ejoy2270;americans are furiousðŸ˜\xa0 impeach these liberal judgesðŸ’©  they care more about refugees  than americansðŸ”Š president trump trâ€¦; ;2614;9;0;en;-100.113952;76.250578;Arctic;joy; '],ejoy americans furious xa impeach liberal judges care refugees americans president trump tr en Arctic joy,Positive,0.8,positive,0.51
"['lisaskov;from the podium', "" @seanspicer just made clear judge gorsuch wasn't talking about president trump. makes an already weak answâ€¦; ;20;257;0;en;-100.113952;76.250578;Arctic;joy; ""]",lisaskov podium made clear judge gorsuch talking president trump makes already weak answ en Arctic joy,Positive,0.18,positive,0.54
"['DaveD1420;@realdonaldtrump @nytimes president trump', ' you sound like a baby.;Grand Forks', ' ND;125;0;0;en;-97.0328547;47.9252568;United States;joy; ']",DaveD president trump sound like baby Grand Forks ND en United States joy,Positive,0.57,positive,0.9
"[""Voke_O;an 8-year-old american girl was killed in president trump's first military operation.;United Kingdom;790;3608;0;en;-3.435973;55.378051;United Kingdom of Great Britain and Northern Ireland; ; ""]",Voke O year old american girl killed president trump first military operation United Kingdom en United Kingdom Great Britain Northern Ireland,Positive,0.14,positive,0.64
"[""Rubin0737;@newday @richcasa i don't think president trump became the president to get rich"", ' i think he is the president because of his success!; ;24;0;0;en;-100.113952;76.250578;Arctic;sadness; ']",Rubin think president trump became president get rich think president success en Arctic sadness,Positive,0.34,positive,0.66
['Christo03568494;president trump is making satire great again;PRESTON UK;109;148;0;en;-2.70309;53.763201;United Kingdom of Great Britain and Northern Ireland;joy; '],Christo president trump making satire great PRESTON UK en United Kingdom Great Britain Northern Ireland joy,Positive,0.8,positive,0.94
"['Kilroy80401;president trump: ""i\'ve learned a lot in the last 2 weeks and terrorism is a far greater threat than the people of our countryâ€¦;Golden', ' CO;177;2894;0;en;-105.2210997;39.755543;United States; ; ']",Kilroy president trump learned lot last weeks terrorism far greater threat people country Golden CO en United States,Positive,0.22,negative,-0.57
"['JoaoSAlbergaria;""itâ€™s really tricky now as satire has become reality', 'â€\x9d trey parker', ' creator of...; ;55;0;0;pt;-100.113952;76.250578;Arctic; ; ']",JoaoSAlbergaria really tricky satire become reality xd trey parker creator pt Arctic,Positive,0.2,positive,0.44
['AlbertSteinII;president trump could walk on water and the left and the establishment would complain that he got the soles of hisâ€¦;USA;128;0;0;en;-95.712891;37.09024;United States;joy; '],AlbertSteinII president trump could walk water left establishment would complain got soles USA en United States joy,Positive,0.4,positive,0.62
"['DotLolly;""many muslims opposed to radical islam welcome president trump\'s order. it\'s very pragmatic"" ~ @missdiagnosis   #travelbanâ€¦; ;1764;968;0;en;-100.113952;76.250578;Arctic; ; ']",DotLolly many muslims opposed radical islam welcome president trump order pragmatic travelban en Arctic,Positive,0.65,positive,0.46
"['PaulOwenRec2Rec;@realdonaldtrump @hillaryclinton keep going president trump', "" with each of your successes ld's are going lower + showing their true colours.;England"", ' United Kingdom;1350;0;0;en;-1.1743197;52.3555177;United Kingdom of Great Britain and Northern Ireland; ; ']",PaulOwenRecRec keep going president trump successes ld going lower showing true colours England United Kingdom en United Kingdom Great Britain Northern Ireland,Positive,0.57,positive,0.93
"['Debbieelsberry;@realdonaldtrump @nytimes standing behind you president trump. people need to respect you and that starts with media . #maga;Paris', ' IL;90;0;0;en;-87.6961374;39.611146;United States;joy; ']",Debbieelsberry standing behind president trump people need respect starts media maga Paris IL en United States joy,Positive,0.2,positive,0.87
['Bill46122502;through all this bashing & all ur hard work to date u r standing strong u r the greatest president of all time feel the luâ€¦; ;297;3;0;en;-100.113952;76.250578;Arctic; ; '],Bill bashing ur hard work date u r standing strong u r greatest president time feel lu en Arctic,Positive,0.38,positive,0.8
['DavidReveal;president trump who convincingly won the election should form a community to investigate hillary clinton and lock her up. lock her up; ;3;0;0;en;-100.113952;76.250578;Arctic; ; '],DavidReveal president trump convincingly election form community investigate hillary clinton lock lock en Arctic,Positive,0.5,positive,0.38
"[""MarcusNoble16;@govinslee my families security is at risk because gov. inslee don't like president trump; ;0;0;0;en;-100.113952;76.250578;Arctic;joy; ""]",MarcusNoble families security risk gov inslee like president trump en Arctic joy,Positive,0.8,positive,0.77
"['Amyloukingery;wife of wounded warrior meets with president trump', "" proposes 'real solutions' for va;Virginia;15157;1;0;en;-78.6568942;37.4315734;United States; ; ""]",Amyloukingery wife wounded warrior meets president trump proposes real solutions va Virginia en United States,Positive,0.2,positive,0.54
"['pennyman441966;@kellyannepolls @ap i support both you & president trump. keep up the good work;Tennessee', ' USA;38;0;0;en;-86.5804473;35.5174913;United States;joy; ']",pennyman support president trump keep good work Tennessee USA en United States joy,Positive,0.75,positive,0.9
"['DrummerTW366;""54% of americans disapprove of the job president trump is doing', ' or as betsy devos calls that', ' one-third."" -- @sethmeyers hâ€¦;Glenpool', ' Ok;37;319;0;en;-96.0088843;35.9553737;United States; ; ']",DrummerTW americans disapprove job president trump betsy devos calls one third h Glenpool Ok en United States,Positive,0.25,positive,0.61
"[""vincebayless;ha! awesome!appeals court rules against president trump's travel ban;Tatooine;285;0;0;en;10.4508956;32.9210902;Republic of Tunisia; ; ""]",vincebayless ha awesome appeals court rules president trump travel ban Tatooine en Republic Tunisia,Positive,1.0,positive,0.44
"['BSAFunds;yahoofinance: live: president trump called chinaâ€™s xi jinping', ' commits to â€˜one chinaâ€™ policy spyjared; ;21452;0;0;en;-100.113952;76.250578;Arctic;joy; ']",BSAFunds yahoofinance live president trump called china xi jinping commits one china policy spyjared en Arctic joy,Positive,0.47,positive,0.6
"['ravikumar_8484;poll: 95% of americans who voted for president trump approve of his performance in the presidency so far  (public policâ€¦;Rajkot', ' India;1047;314;0;en;70.8021599;22.3038945;Republic of India;joy; ']",ravikumar poll americans voted president trump approve performance presidency far public polic Rajkot India en Republic India joy,Positive,0.3,positive,0.59
"['norwin55;president trumpâ€™s infatuation with vladimir putin is deeply troublesome. americans deserve to know whatâ€™s behind it. httpsâ€¦;Harrisburg', ' Pennsylvania;646;923;0;en;-76.8867008;40.2731911;United States;joy; ']",norwin president trump infatuation vladimir putin deeply troublesome americans deserve know behind https Harrisburg Pennsylvania en United States joy,Positive,0.13,positive,0.56
"['Milcal_Anatmcl;president trump signs three new executive orders on crime reduction;Arkansas', ' USA;360;129;0;en;-91.8318334;35.20105;United States; ; ']",Milcal Anatmcl president trump signs three new executive orders crime reduction Arkansas USA en United States,Positive,0.14,negative,-0.18
"['Jordan_FHT;live: president trump to meet with japanâ€™s pm shinzo abe. @spyjared talks about their rocky relationship;Chelsea', ' London;233;5;0;en-gb;-0.174936;51.485093;United Kingdom of Great Britain and Northern Ireland;joy; ']",Jordan FHT live president trump meet japan pm shinzo abe talks rocky relationship Chelsea London en gb United Kingdom Great Britain Northern Ireland joy,Positive,0.58,positive,0.89
['Donna_pas;@foxnation @foxnews time for a new executive order president trump...#keepussafe; ;19;0;0;en;-100.113952;76.250578;Arctic; ; '],Donna pas time new executive order president trump keepussafe en Arctic,Positive,0.14,neutral,0.0
"['Smart3DWeb;president trump - new world order in reverse ( inauguration ) 2017 pope francis;Louisville', ' Kentucky', ' USA;3024;1;0;en;-85.7584557;38.2526647;United States; ; ']",SmartDWeb president trump new world order reverse inauguration pope francis Louisville Kentucky USA en United States,Positive,0.14,positive,0.42
"[""mallyskok;are you ok with several patriots' decisions to skip white house visit with president trump? yes perfectly ok with it;Boston;13627;0;0;en;-71.0588801;42.3600825;United States; ; ""]",mallyskok ok several patriots decisions skip white house visit president trump yes perfectly ok Boston en United States,Positive,0.25,positive,0.92
"['Richieamx;the 9th circuit has no authority to rule on an executive order by president trump! the law is very clear that trump isâ€¦;Missouri', ' USA;3722;149;0;en;-91.8318334;37.9642529;United States; ; ']",Richieamx th circuit authority rule executive order president trump law clear trump Missouri USA en United States,Positive,0.1,positive,0.69
"['HannahChapter1;on thursday night', ' president trumpâ€™s immigration ban met another major defeat in court.; ;471;41;0;en;-100.113952;76.250578;Arctic; ; ']",HannahChapter thursday night president trump immigration ban met another major defeat court en Arctic,Positive,0.06,negative,-0.78
"[""hellomike69;@impeach_d_trump you should impeach all you fucking assholes. president trump is the best.if you don't like it get the fuck out you assholes; Pennsylvania ;3;0;0;en;-77.1945247;41.2033216;United States;joy; ""]",hellomike trump impeach fucking assholes president trump best like get fuck assholes Pennsylvania en United States joy,Positive,0.2,positive,0.23
['Qionisolo;the latest episode of can he do that: should president trump be spending weekends at mar-a-lago?; ;118;4;0;en;-100.113952;76.250578;Arctic; ; '],Qionisolo latest episode president trump spending weekends mar lago en Arctic,Positive,0.5,neutral,0.0
"['USb4russia;survey: 83% of us mayors expect trump will cause either ""some harm"" or ""major harm"" on affordable housing; ;733;14;0;en;-100.113952;76.250578;Arctic;joy; ']",USbrussia survey us mayors expect trump cause either harm major harm affordable housing en Arctic joy,Positive,0.43,negative,-0.54
['liszewsk;on march 15th mail president trump a postcard that expresses support to him.the white house 1600 pennsylvania avenue nwâ€¦;Beautiful Pa;4151;6;0;en;-77.8571306;40.7868269;United States; ; '],liszewsk march th mail president trump postcard expresses support white house pennsylvania avenue nw Beautiful Pa en United States,Positive,0.42,positive,0.86
['badbadzoot;boycott @amazon for not supporting president trumpâ€™s immigration executive order.  #boycottamazon #maga #tcot #ccot;earth;18;4;0;en;-102.4107493;34.2331373;United States; ; '],badbadzoot boycott supporting president trump immigration executive order boycottamazon maga tcot ccot earth en United States,Positive,0.25,positive,0.53
"['Coleby_;thank you president trump for appointing a leader who understandsðŸ‘‰ðŸ\x8f» ""islam is like a malignant cancer that has metastasizedâ€\x9d -â€¦;United States;449;428;0;en;-95.712891;37.09024;United States;joy; ']",Coleby thank president trump appointing leader understands xf islam like malignant cancer metastasized xd United States en United States joy,Positive,0.8,positive,0.92
['OhMySuzieQ;@realdonaldtrump @nytimes i love your news media president trump. i pray for you and our nation everyday.; ;24;0;0;en;-100.113952;76.250578;Arctic;joy; '],OhMySuzieQ love news media president trump pray nation everyday en Arctic joy,Positive,0.37,positive,0.88
"[""Don_Rivers1;watch as obama assaults supreme court during 2010 sotu. now tell us president trump's attack is unprecedented.;Upstate NY;698;31;0;en;-73.9865533;40.7263542;United States; ; ""]",Don Rivers watch obama assaults supreme court sotu tell us president trump attack unprecedented Upstate NY en United States,Positive,0.6,negative,-0.05
"['Maxa_FHT;rt yahoofinance: live: president trump to meet with japanâ€™s pm shinzo abe. spyjared talks about their rocky relatiâ€¦;London', ' UK;314;0;0;en;-0.1277583;51.5073509;United Kingdom of Great Britain and Northern Ireland;joy; ']",Maxa FHT rt yahoofinance live president trump meet japan pm shinzo abe spyjared talks rocky relati London UK en United Kingdom Great Britain Northern Ireland joy,Positive,0.58,positive,0.89
"['MegMcCloskey;literally the 1st sentence of the nyt story: ""president trump told president xi jinping of china on thursday evening ...â€¦;New York;4961;4;0;en;-74.0059413;40.7127837;United States; ; ']",MegMcCloskey literally st sentence nyt story president trump told president xi jinping china thursday evening New York en United States,Positive,0.14,positive,0.48
"['kenc2001;breaking: federal court stands in the way of trump exec order  kenneth', '  president trump is fighting to keep the...;New York;34109;0;0;en;-74.0059413;40.7127837;United States; ; ']",kenc breaking federal court stands way trump exec order kenneth president trump fighting keep New York en United States,Positive,0.14,positive,0.08
['Morpheyous;(via;Grand Island NY;759;0;0;en;-78.9657302;43.0216283;United States; ; '],Morpheyous via Grand Island NY en United States,Positive,0.5,positive,0.7
['RETTinol;@realdonaldtrump the american people love you president trumpâ\x9d¤ðŸ‡ºðŸ‡¸ stay strong! these idiot judges/media/hollywood are the minorityðŸ˜¡ðŸ‘ŽðŸ\x8f»ðŸ’©; ;3353;0;0;en;-100.113952;76.250578;Arctic;joy; '],RETTinol american people love president trump xd stay strong idiot judges media hollywood minority xf en Arctic joy,Positive,0.19,positive,0.92
"['SnowyinChi;under armour ceo says president trump is a ""real asset""  steph curry: ""i agreeâ€¦ if you remove the \'et\' from asset"";Chicago', ' IL;144;677;0;en;-87.6297982;41.8781136;United States; ; ']",SnowyinChi armour ceo says president trump real asset steph curry agree remove et asset Chicago IL en United States,Positive,0.2,positive,0.85
"['PaulaPowell5;under armour described president trump as ""a real asset"" to the country. then stephen curry responded.; ;51;435;0;en;-100.113952;76.250578;Arctic; ; ']",PaulaPowell armour described president trump real asset country stephen curry responded en Arctic,Positive,0.2,positive,0.36
['fiscalconserve;is this @ap attempt to delegitimize president trump by using a pic of alec baldwin as trump? #mediabias #fakenewsâ€¦;United States;920;0;0;en;-95.712891;37.09024;United States;joy; '],fiscalconserve attempt delegitimize president trump using pic alec baldwin trump mediabias fakenews United States en United States joy,Positive,0.8,positive,0.86
"[""thus_spake;president trump on friday morning ripped into an appeals court's decision to reject his executive order on immig...;England"", ' Great Britain.;2477;0;0;en;-1.1743197;52.3555177;United Kingdom of Great Britain and Northern Ireland; ; ']",thus spake president trump friday morning ripped appeals court decision reject executive order immig England Great Britain en United Kingdom Great Britain Northern Ireland,Positive,0.8,positive,0.85
['YAlhethali;president trump needs to be reminded that its great friend - australia - is not a doormat for the usa #auspol @realdonalâ€¦;Ù…Ù„Ø¨ÙˆØ±Ù† ØŒ Ø§Ø³ØªØ±Ø§Ù„ÙŠØ§;54;173;0;ar;144.963056;-37.813611;Commonwealth of Australia;joy; '],YAlhethali president trump needs reminded great friend australia doormat usa auspol ar Commonwealth Australia joy,Positive,0.8,positive,0.9
['Ohliad;us allies worry about joint intel operations under presidentÂ\xa0trump; ;114;0;0;uk;-100.113952;76.250578;Arctic;joy; '],Ohliad us allies worry joint intel operations president xatrump uk Arctic joy,Positive,0.8,positive,0.23
['UKStartupEvents;watch live: president trump holds joint press conference with japanese prime minister 1 pm et;UK;10657;1;0;en;-3.435973;55.378051;United Kingdom of Great Britain and Northern Ireland;joy; '],UKStartupEvents watch live president trump holds joint press conference japanese prime minister pm et UK en United Kingdom Great Britain Northern Ireland joy,Positive,0.43,positive,0.89
"[""AtheistWWonka;@realdonaldtrump @nytimes trust no one. tell us about the aliens president trump. what's in area 51;New York"", ' USA;14883;0;1;en;-74.0059413;40.7127837;United States; ; ']",AtheistWWonka trust one tell us aliens president trump area New York USA en United States,Positive,0.14,positive,0.73
['Trinity_1;@realdonaldtrump @nytimes thank you president trump for working so hard to protect our country!!! you are supported by the majority!!!â\x9d¤;Mid-West;950;0;0;en;-106.2800242;43.4113604;United States;joy; '],Trinity thank president trump working hard protect country supported majority xd Mid West en United States joy,Positive,0.17,positive,0.95
"['angel7731;@realdonaldtrump @nytimes president trump ignore those who lie about you! stay strong! make america great again!;Fort Wayne', ' IN;93;0;0;en;-85.1393513;41.079273;United States;joy; ']",angel president trump ignore lie stay strong make america great Fort Wayne IN en United States joy,Positive,0.68,positive,0.91
['everSoTweetly4u;americans trust trump administration more than news media in new poll; FLORIDA & TEXAS ;1755;4;0;en;-81.5157535;27.6648274;United States; ; '],everSoTweetlyu americans trust trump administration news media new poll FLORIDA TEXAS en United States,Positive,0.14,positive,0.73
"['twigsr1960;have you noticed president trump is proud of his exec. orders and signs them on tv', ' unlike the other guy who signed theâ€¦;South Carolina', ' USA;58;142;0;en;-81.1637245;33.836081;United States;joy; ']",twigsr noticed president trump proud exec orders signs tv unlike guy signed South Carolina USA en United States joy,Positive,0.8,positive,0.87
['davidkinneytu;anglers to @potus â€” veto resolution that overturns #streamprotectionrule and protect #cleanwater; ;35;40;0;en;-100.113952;76.250578;Arctic;joy; '],davidkinneytu anglers veto resolution overturns streamprotectionrule protect cleanwater en Arctic joy,Positive,0.8,positive,0.75
"[""edavid57edavid;the victim of president trump's latest twitter attack? democratic senator richard blumenthal.; ;671;133;0;es;-100.113952;76.250578;Arctic; ; ""]",edavidedavid victim president trump latest twitter attack democratic senator richard blumenthal es Arctic,Positive,0.21,negative,-0.64
"['aliostad;on annivesary of iranian revoution', ' hardliners quite grateful to president trump for his tough language & some hope heâ€¦;UK;1084;1;0;en;-3.435973;55.378051;United Kingdom of Great Britain and Northern Ireland; ; ']",aliostad annivesary iranian revoution hardliners quite grateful president trump tough language hope UK en United Kingdom Great Britain Northern Ireland,Positive,0.21,positive,0.91
"['Irishgir70;grand #president #trump removes debris', ' a lot of dust', ' visible path to prosperity rich #america!; ;1422;31;0;en;-100.113952;76.250578;Arctic; ; ']",Irishgir grand president trump removes debris lot dust visible path prosperity rich america en Arctic,Positive,0.44,positive,0.77
RT @NoahBookbinder: NEW: President Trump’s family took more trips requiring Secret Service protection last FY than the Obamas did in 7 year…,RT NEW President Trump family took trips requiring Secret Service protection last FY Obamas year,Negative,-0.09,neutral,0.0
"Trump, being ""tough"" on China. https://t.co/N7u8TxnhRT",Trump tough China https co NuTxnhRT,Negative,-0.39,negative,-0.13
"RT @republiculos: I don't wanna brag, but us resisters have been saying trump was incompetent since before it was cool. amirite?",RT I wan na brag us resisters saying trump incompetent since cool amirite,Negative,-0.07,negative,-0.2
RT @Independent: Trump claims China 'took advantage' of US in false claims about tariffs https://t.co/QPVY2Svco2,RT Trump claims China took advantage US false claims tariffs https co QPVYSvco,Negative,-0.4,positive,0.25
RT @jennycohn1: Trump and others are trying to pull this crap in the US. Push back hard. Know that it is psychological warfare and call it…,RT Trump others trying pull crap US Push back hard Know psychological warfare call,Negative,-0.27,negative,-0.64
"RT @KevBoat44: HOLY SH!T

Deepstate Fauci just got caught leaking info to the mockingbird &amp; trump knows.

The Sham is up! https://t.co/useG…",RT HOLY SH T Deepstate Fauci got caught leaking info mockingbird amp trump knows The Sham https co useG,Negative,-0.2,neutral,0.0
"RT @PodSaveAmerica: TRUMP: ""You don't need testing ...You don't need to test every single person to say let's open up [in Iowa]."" 

Reality…",RT TRUMP You need testing You need test every single person say let open Iowa Reality,Negative,-0.04,neutral,0.0
#icymi Republicans have been trying to destroy the United States Postal Service for years. Looks like they're close… https://t.co/sHisa2YxD3,icymi Republicans trying destroy United States Postal Service years Looks like close https co sHisaYxD,Negative,-0.2,positive,0.2
"@The_UnSilent_ With 1 American dieing every 47 second,  Trump's failure to start preparing, how can you still support Trump",UnSilent With American dieing every second Trump failure start preparing still support Trump,Negative,-0.11,negative,-0.15
